,module length,1.66,,module azi,90,,,,
,,,,,,,,,
,,,,,,,,,
Degrees,Radians,SIN,COS,,height,length,,azimuthdiff,sinazidiff
0,0,0,1,,0,1.66,,90,0.00
5,0.09,0.09,1,,0.15,1.66,,85,0.09
10,0.17,0.17,0.98,,0.28,1.63,,80,0.17
15,0.26,0.26,0.97,,0.43,1.61,,75,0.26
20,0.35,0.34,0.94,,0.56,1.56,,70,0.34
25,0.44,0.42,0.91,,0.7,1.51,,65,0.42
30,0.52,0.5,0.87,,0.83,1.44,,60,0.50
35,0.61,0.57,0.82,,0.95,1.36,,55,0.57
40,0.7,0.64,0.77,,1.06,1.28,,50,0.64
45,0.79,0.71,0.71,,1.18,1.18,,45,0.71
50,0.87,0.77,0.64,,1.28,1.06,,40,0.77
55,0.96,0.82,0.57,,1.36,0.95,,35,0.82
60,1.05,0.87,0.5,,1.44,0.83,,30,0.87
65,1.13,0.91,0.42,,1.51,0.7,,25,0.91
70,1.22,0.94,0.34,,1.56,0.56,,20,0.94
75,1.31,0.97,0.26,,1.61,0.43,,15,0.97
80,1.4,0.98,0.17,,1.63,0.28,,10,0.98
85,1.48,1,0.09,,1.66,0.15,,5,1.00
90,1.57,1,0,,1.66,0,,0,1.00
100,1.75,1.0,-0.2,,1.63,,,-10,0.98
110,1.92,0.9,-0.3,,1.56,,,-20,0.94
120,2.09,0.9,-0.5,,1.44,,,-30,0.87
130,2.27,0.8,-0.6,,1.27,,,-40,0.77
140,2.44,0.6,-0.8,,1.07,,,-50,0.64
150,2.62,0.5,-0.9,,0.83,,,-60,0.50
160,2.79,0.3,-0.9,,0.57,,,-70,0.34
170,2.97,0.2,-1.0,,0.29,,,-80,0.17
180,3.14,0.0,-1.0,,0.00,,,-90,0.00
190,3.32,-0.2,-1.0,,-0.29,,,-100,-0.17
200,3.49,-0.3,-0.9,,-0.57,,,-110,-0.34
210,3.67,-0.5,-0.9,,-0.83,,,-120,-0.50
220,3.84,-0.6,-0.8,,-1.07,,,-130,-0.64
230,4.01,-0.8,-0.6,,-1.27,,,-140,-0.77
240,4.19,-0.9,-0.5,,-1.44,,,-150,-0.87
250,4.36,-0.9,-0.3,,-1.56,,,-160,-0.94
260,4.54,-1.0,-0.2,,-1.63,,,-170,-0.98
270,4.71,-1.0,0.0,,-1.66,,,-180,-1.00
280,4.89,-1.0,0.2,,-1.63,,,-190,-0.98
290,5.06,-0.9,0.3,,-1.56,,,-200,-0.94
300,5.24,-0.9,0.5,,-1.44,,,-210,-0.87
310,5.41,-0.8,0.6,,-1.27,,,-220,-0.77
320,5.59,-0.6,0.8,,-1.07,,,-230,-0.64
330,5.76,-0.5,0.9,,-0.83,,,-240,-0.50
340,5.93,-0.3,0.9,,-0.57,,,-250,-0.34
350,6.11,-0.2,1.0,,-0.29,,,-260,-0.17
360,6.28,0.0,1.0,,0.00,,,-270,0.00
